url;owner;type;reach;reach_updated;rss_available;left_right;left_right_validated
nos.nl;NPO;overheid;4740000;2025-11-30;1;0.346;1
www.ad.nl;DPG Media;commercieel;5337000;2025-11-30;1;0.366;1
www.nu.nl;DPG Media;commercieel;4623000;2025-11-30;1;0.355;1
www.volkskrant.nl;DPG Media;commercieel;2029000;2025-11-30;1;-0.349;1
www.nrc.nl;Mediahuis NL;onafhankelijk;2392000;2025-11-30;1;-0.45;0
www.trouw.nl;DPG Media;commercieel;1295000;2025-11-30;1;-0.45;0
www.rtl.nl;DPG Media;commercieel;5675000;2025-11-30;0;0.674;1
www.parool.nl;DPG Media;commercieel;1168000;2025-11-30;1;-0.275;0
www.nd.nl;Nedag Uitgevers BV;onafhankelijk;26200;2024-12-31;1;0.4;0
www.telegraaf.nl;Mediahuis NL;commercieel;4399000;2025-11-30;1;1.056;1
www.gelderlander.nl;DPG Media;commercieel;2691000;2025-11-30;1;0.1;0
www.destentor.nl;DPG Media;commercieel;1975000;2025-11-30;1;0.1;0
www.bd.nl;DPG Media;commercieel;1641000;2025-11-30;1;0.1;0
www.metronieuws.nl;Mediahuis NL;commercieel;1475000;2025-11-30;0;0.4;0
www.ed.nl;DPG Media;commercieel;1398000;2025-11-30;1;0.1;0
www.bnr.nl;FD Mediagroep;commercieel;1138000;2025-11-30;1;0.45;0
fd.nl;FD Mediagroep;commercieel;229000;;1;0.4;0
www.geenstijl.nl;Marck Burema, Bart Nijman, Diane Beijer;commercieel;;;0;1.8;1
bnnvara.nl;NPO;state;1000000;;1;-0.268;1